DriverId	ADDRESS	CITY	STATE	ZIP	LOCATION
105817	420 S CLINTON ST	CHICAGO	IL	60607-3811	"420 S CLINTON ST
CHICAGO, IL 60607-3811
(41.876564794000046, -87.64104498699999)"
105816	5430 S ASHLAND AVE	CHICAGO	IL	60609-5801	"5430 S ASHLAND AVE
CHICAGO, IL 60609-5801
(41.79508223100004, -87.66465139499996)"
105814	1603 W TAYLOR ST	CHICAGO	IL	60612-4310	"1603 W TAYLOR ST
CHICAGO, IL 60612-4310
(41.869233690000044, -87.66672216399996)"
105812	2001 S MICHIGAN AVE	CHICAGO	IL	60616-5041	"2001 S MICHIGAN AVE
CHICAGO, IL 60616-5041
(41.854872267000076, -87.62382355499994)"
105810	8S421 OXFORD LN	NAPERVILLE	IL	60565-1503	"8S421 OXFORD LN
NAPERVILLE, IL 60565-1503
(41.74801195600003, -88.12387353299994)"
105809	619 E 88TH PL	CHICAGO	IL	60619-6807	"619 E 88TH PL
CHICAGO, IL 60619-6807
(41.73381354000003, -87.60878973399997)"
105808	1924 N DAMEN AVE	CHICAGO	IL	60647-7906	"1924 N DAMEN AVE
CHICAGO, IL 60647-7906
(41.91667951200003, -87.67763741999994)"
105807	837 W DIVERSEY PKWY	CHICAGO	IL	60614-1440	"837 W DIVERSEY PKWY
CHICAGO, IL 60614-1440
(41.93266472900007, -87.65040892999997)"
105806	4230 N NORMANDY AVE	CHICAGO	IL	60634-1401	"4230 N NORMANDY AVE
CHICAGO, IL 60634-1401
(41.95781209000006, -87.79321448899998)"
105805	2224 S ARCHER AVE	CHICAGO	IL	60616-1912	"2224 S ARCHER AVE
CHICAGO, IL 60616-1912
(41.85230613600004, -87.63597321399999)"
105804	5841 S MARYLAND AVE	CHICAGO	IL	60637-1447	"5841 S MARYLAND AVE
CHICAGO, IL 60637-1447
(41.78881314200004, -87.60488815299999)"
105803	3711 W MONTROSE AVE	CHICAGO	IL	60618-1008	"3711 W MONTROSE AVE
CHICAGO, IL 60618-1008
(41.96101911800008, -87.72095470199997)"
105801	201 INDUSTRIAL ROW DR	MASON	OH	45040-2600	"201 INDUSTRIAL ROW DR
MASON, OH 45040-2600
(39.335327419000066, -84.33652485599998)"
105800	3029 N KEDZIE AVE	CHICAGO	IL	60618-6906	"3029 N KEDZIE AVE
CHICAGO, IL 60618-6906
(41.936581723000074, -87.70749419399993)"
105795	1401 W ERIE ST APT 1	CHICAGO	IL	60622-6100	"1401 W ERIE ST APT 1
CHICAGO, IL 60622-6100
(41.89339221200004, -87.66241868099996)"
105793	741 SAN JOSE DR SE	GRAND RAPIDS	MI	49506-3417	"741 SAN JOSE DR SE
GRAND RAPIDS, MI 49506-3417
(42.948983439000074, -85.61809269099996)"
105792	2216 S KEDZIE AVE	CHICAGO	IL	60623-3316	"2216 S KEDZIE AVE
CHICAGO, IL 60623-3316
(41.85115961500003, -87.70526683299994)"
105791	7633 S LANGLEY AVE	CHICAGO	IL	60619-2520	"7633 S LANGLEY AVE
CHICAGO, IL 60619-2520
(41.75574146300005, -87.60772387299994)"
105790	2142 N CLEVELAND AVE	CHICAGO	IL	60614-4509	"2142 N CLEVELAND AVE
CHICAGO, IL 60614-4509
(41.92137966900003, -87.64137741599995)"
105789	3946 W 16TH ST	CHICAGO	IL	60623-2039	"3946 W 16TH ST
CHICAGO, IL 60623-2039
(41.85889834000005, -87.72442121399996)"
105788	328 N MICHIGAN AVE	CHICAGO	IL	60601-3711	"328 N MICHIGAN AVE
CHICAGO, IL 60601-3711
(41.88755417200008, -87.62459566599995)"
105787	3226 N CENTRAL AVE	CHICAGO	IL	60634-4310	"3226 N CENTRAL AVE
CHICAGO, IL 60634-4310
(41.939339663000055, -87.76655035799996)"
105786	10161 S SPRINGFIELD AVE	CHICAGO	IL	60655-3753	"10161 S SPRINGFIELD AVE
CHICAGO, IL 60655-3753
(41.70770168200005, -87.71851346499994)"
105785	4607 S PULASKI RD	CHICAGO	IL	60632-4037	"4607 S PULASKI RD
CHICAGO, IL 60632-4037
(41.80940207500004, -87.72360424599998)"
105784	4857 N DAMEN AVE	CHICAGO	IL	60625-1412	"4857 N DAMEN AVE
CHICAGO, IL 60625-1412
(41.97043115400004, -87.67920337099997)"
105782	2727 W MADISON ST	CHICAGO	IL	60612-2035	"2727 W MADISON ST
CHICAGO, IL 60612-2035
(41.88104289200004, -87.69514058099998)"
105781	1507 E 53RD ST	CHICAGO	IL	60615-4573	"1507 E 53RD ST
CHICAGO, IL 60615-4573
(41.79953278100004, -87.58836092999996)"
105780	1907 N MENDELL ST	CHICAGO	IL	60642-1205	"1907 N MENDELL ST
CHICAGO, IL 60642-1205
(41.916962726000065, -87.66542863499996)"
105779	4554 N BROADWAY ST	CHICAGO	IL	60640-6043	"4554 N BROADWAY ST
CHICAGO, IL 60640-6043
(41.96456275700007, -87.65693825799997)"
105778	1127 W 95TH ST	CHICAGO	IL	60643-1405	"1127 W 95TH ST
CHICAGO, IL 60643-1405
(41.72127612700007, -87.65159767299997)"
105777	2874 N MILWAUKEE AVE FL 1	CHICAGO	IL	60618-7413	"2874 N MILWAUKEE AVE FL 1
CHICAGO, IL 60618-7413
(41.933595009000044, -87.71486534099995)"
105776	8215 S KEDZIE AVE	CHICAGO	IL	60652-3328	"8215 S KEDZIE AVE
CHICAGO, IL 60652-3328
(41.74390176700007, -87.70218332699994)"
105775	265 N WESTERN AVE	CHICAGO	IL	60612-2249	"265 N WESTERN AVE
CHICAGO, IL 60612-2249
(41.88614039400005, -87.68652692099994)"
105774	13507 S BRAINARD AVE	CHICAGO	IL	60633-1830	"13507 S BRAINARD AVE
CHICAGO, IL 60633-1830
(41.64927295700005, -87.54689041199998)"
105773	4626 S SAINT LOUIS AVE FL 2	CHICAGO	IL	60632-2936	"4626 S SAINT LOUIS AVE FL 2
CHICAGO, IL 60632-2936
(41.80918168100004, -87.71104001499998)"
105772	2 N LASALLE ST STE 1810	CHICAGO	IL	60602-3990	"2 N LASALLE ST STE 1810
CHICAGO, IL 60602-3990
(41.88228966100007, -87.63244723199995)"
105771	2940 N ASHLAND AVE	CHICAGO	IL	60657-4004	"2940 N ASHLAND AVE
CHICAGO, IL 60657-4004
(41.93521245200003, -87.66853616999998)"
105770	3953 W LAWRENCE AVE	CHICAGO	IL	60625-6233	"3953 W LAWRENCE AVE
CHICAGO, IL 60625-6233
(41.968216072000075, -87.72747138699998)"
105769	515 N CLARK ST	CHICAGO	IL	60654-3279	"515 N CLARK ST
CHICAGO, IL 60654-3279
(41.89137194600005, -87.63106334099996)"
105768	5656 N WESTERN AVE	CHICAGO	IL	60659-5113	"5656 N WESTERN AVE
CHICAGO, IL 60659-5113
(41.98425426700004, -87.68949275799997)"
105766	6849 S WABASH AVE	CHICAGO	IL	60637-3911	"6849 S WABASH AVE
CHICAGO, IL 60637-3911
(41.77009540600005, -87.62337695699995)"
105765	1218 E 53RD ST	CHICAGO	IL	60615-4008	"1218 E 53RD ST
CHICAGO, IL 60615-4008
(41.79949447900003, -87.59625809699997)"
105764	4906 N PULASKI RD	CHICAGO	IL	60630-2813	"4906 N PULASKI RD
CHICAGO, IL 60630-2813
(41.970325622000075, -87.72812567899996)"
105763	855 W. BELMONT AVE. FL 3	CHICAGO	IL	60657	"855 W. BELMONT AVE. FL 3
CHICAGO, IL 60657
(41.93988796200006, -87.65120569399994)"
105762	12233 S AVENUE O	CHICAGO	IL	60633-1106	"12233 S AVENUE O
CHICAGO, IL 60633-1106
(41.67313092300003, -87.53996394099994)"
105759	3621 W ARMITAGE AVE	CHICAGO	IL	60647-3610	"3621 W ARMITAGE AVE
CHICAGO, IL 60647-3610
(41.91725383100004, -87.71747530899995)"
105757	6121 N FAIRFIELD AVE	CHICAGO	IL	60659	"6121 N FAIRFIELD AVE
CHICAGO, IL 60659
(41.992871842000056, -87.69821371699999)"
105756	5308 N CLARK ST	CHICAGO	IL	60640-2114	"5308 N CLARK ST
CHICAGO, IL 60640-2114
(41.97839226900004, -87.66836731299998)"
105754	1553 W DEVON AVE	CHICAGO	IL	60660-1378	"1553 W DEVON AVE
CHICAGO, IL 60660-1378
(41.99806287200005, -87.67001046699994)"
105753	222 MERCHANDISE MART PLZ	CHICAGO	IL	60654-2239	"222 MERCHANDISE MART PLZ
CHICAGO, IL 60654-2239
(41.88801240400005, -87.63454158799999)"
105752	3334 LINCOLN WAY	CLINTON	IA	52732-9753	"3334 LINCOLN WAY
CLINTON, IA 52732-9753
(41.81542760000008, -90.26989572199994)"
105750	8383 S SOUTH CHICAGO AVE	CHICAGO	IL	60617-1895	"8383 S SOUTH CHICAGO AVE
CHICAGO, IL 60617-1895
(41.74279442400007, -87.57344348899994)"
105749	131 N CLINTON ST	CHICAGO	IL	60661-1506	"131 N CLINTON ST
CHICAGO, IL 60661-1506
(41.883954208000034, -87.64117420499997)"
105748	9262 S SOUTH CHICAGO AVE	CHICAGO	IL	60617-4512	"9262 S SOUTH CHICAGO AVE
CHICAGO, IL 60617-4512
(41.726986270000054, -87.55159737799994)"
105746	1937 W DIVERSEY PKWY	CHICAGO	IL	60614-7846	"1937 W DIVERSEY PKWY
CHICAGO, IL 60614-7846
(41.93227334100004, -87.67658999599996)"
105744	1960 N DAMEN AVE	CHICAGO	IL	60647-4565	"1960 N DAMEN AVE
CHICAGO, IL 60647-4565
(41.91763014400004, -87.67764779099997)"
105743	6024 S UNION AVE	CHICAGO	IL	60621-2837	"6024 S UNION AVE
CHICAGO, IL 60621-2837
(41.78430998600004, -87.64251702299998)"
105742	23 N WACKER DR	CHICAGO	IL	60606-2800	"23 N WACKER DR
CHICAGO, IL 60606-2800
(41.88266080200003, -87.63674119299998)"
105741	1839 W 47TH ST	CHICAGO	IL	60609-3844	"1839 W 47TH ST
CHICAGO, IL 60609-3844
(41.80851366500008, -87.67138052999996)"
105740	1 GRIFFITH CTR	ALSIP	IL	60803-4701	"1 GRIFFITH CTR
ALSIP, IL 60803-4701
(41.67011717400004, -87.75890028299995)"
105739	7401 S SOUTH CHICAGO AVE	CHICAGO	IL	60619-2035	"7401 S SOUTH CHICAGO AVE
CHICAGO, IL 60619-2035
(41.76022499100003, -87.59764255999994)"
105736	6433 W WABANSIA AVE	CHICAGO	IL	60707-4034	"6433 W WABANSIA AVE
CHICAGO, IL 60707-4034
(41.910904499000026, -87.78652714599997)"
105734	3929 W GRAND AVE	CHICAGO	IL	60651-2010	"3929 W GRAND AVE
CHICAGO, IL 60651-2010
(41.90557378400007, -87.72497098499997)"
105733	4100 S ASHLAND AVE	CHICAGO	IL	60609-2330	"4100 S ASHLAND AVE
CHICAGO, IL 60609-2330
(41.81960898700004, -87.66526767499994)"
105732	2801 N ASHLAND AVE	CHICAGO	IL	60657-4001	"2801 N ASHLAND AVE
CHICAGO, IL 60657-4001
(41.93249479100007, -87.66835602399999)"
105731	2762 W WILSON AVE	CHICAGO	IL	60625-3745	"2762 W WILSON AVE
CHICAGO, IL 60625-3745
(41.96480801800004, -87.69847067499995)"
105730	8302 S ASHLAND AVE	CHICAGO	IL	60620-4606	"8302 S ASHLAND AVE
CHICAGO, IL 60620-4606
(41.74289006400005, -87.66328690199998)"
105729	6358 S KEDZIE AVE	CHICAGO	IL	60629-2755	"6358 S KEDZIE AVE
CHICAGO, IL 60629-2755
(41.777520655000046, -87.70313906199999)"
105728	PO BOX 2116	SILVER CITY	NM	88062-2116	"PO BOX 2116
SILVER CITY, NM 88062-2116
(32.771650806000025, -108.27473077399998)"
105727	1643 N DAMEN AVE	CHICAGO	IL	60647-5507	"1643 N DAMEN AVE
CHICAGO, IL 60647-5507
(41.911721243000045, -87.67744383699994)"
